fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,USD,527854000000,172351000000,73387000000,86780000000,33318000000,52253000000,159019000000,204177000000,None,30476000000,7687000000,22789000000,84312000000,None,13393000000,6897000000,56024000000,325979000000,164917000000,84981000000,41527000000,10526000000,147000000,166762000000,10077000000,67182000000,8494000000,58314000000,67329000000,45764000000,25451000000,201875000000,7837000000,113618000000,109000000,10383000000
2022-12-31,USD,462675000000,146791000000,53888000000,70026000000,34405000000,42360000000,135273000000,186715000000,None,26385000000,6097000000,20288000000,72154000000,None,16138000000,6158000000,42758000000,316632000000,155393000000,79600000000,32227000000,7396000000,1200000000,164139000000,11386000000,70542000000,2999000000,67150000000,71742000000,47712000000,21121000000,146043000000,7837000000,83193000000,108000000,10242000000
2021-12-31,USD,420549000000,161580000000,36220000000,96049000000,32640000000,32891000000,103810000000,160281000000,None,20478000000,5107000000,15371000000,127810000000,None,59829000000,7391000000,27235000000,282304000000,142266000000,78664000000,28027000000,9574000000,318000000,142238000000,15670000000,50553000000,1491000000,48744000000,50871000000,35852000000,23643000000,138245000000,1837000000,85915000000,106000000,509000000
2020-12-31,USD,321195000000,132733000000,42122000000,84396000000,23795000000,24542000000,148451000000,45014000000,None,19998000000,4981000000,15017000000,116207000000,None,42274000000,4942000000,22778000000,227791000000,126385000000,72539000000,23208000000,11529000000,16115000000,103306000000,18060000000,33174000000,1155000000,31816000000,33174000000,28023000000,17017000000,93404000000,1837000000,52551000000,5000000,503000000
2019-12-31,USD,225248000000,96334000000,36092000000,55021000000,20497000000,20816000000,190405000000,72705000000,46975000000,18803000000,4049000000,14754000000,64288000000,2169000000,18929000000,276000000,16314000000,163188000000,87812000000,47183000000,20390000000,14330000000,1307000000,77376000000,17095000000,24820000000,1305000000,23414000000,24820000000,32439000000,12171000000,62060000000,1837000000,31220000000,5000000,498000000
2018-12-31,USD,162648000000,75101000000,31750000000,41250000000,17174000000,16677000000,91662000000,61797000000,33973000000,18658000000,4110000000,14548000000,40567000000,722000000,9500000000,-16677000000,11202000000,119099000000,68391000000,38192000000,15836000000,9071000000,9502000000,61758000000,16292000000,24965000000,1371000000,23495000000,24965000000,14161000000,17563000000,43549000000,1837000000,19625000000,5000000,491000000
2017-12-31,USD,131310000000,60197000000,20522000000,30986000000,16047000000,13164000000,74484000000,48866000000,23790000000,16721000000,3371000000,13350000000,22286000000,441000000,10464000000,-13164000000,8897000000,103601000000,57883000000,34616000000,6100000000,5900000000,6182000000,55156000000,13183000000,24942000000,100000000,24743000000,24942000000,11988000000,20975000000,27709000000,1837000000,8636000000,5000000,484000000
2016-12-31,USD,83402000000,45781000000,19334000000,25981000000,11461000000,8339000000,38475000000,29114000000,13327000000,4638000000,854000000,3784000000,None,223000000,6647000000,-8339000000,4723000000,64117000000,43816000000,25309000000,5267000000,5053000000,5197000000,25900000000,7519000000,8838000000,1056000000,7694000000,8838000000,8542000000,12607000000,19285000000,1837000000,4916000000,5000000,477000000
2015-12-31,USD,64747000000,35705000000,15890000000,19808000000,10243000000,6423000000,29732000000,21838000000,8215000000,4521000000,762000000,3759000000,None,16000000,3918000000,-5654000000,3445000000,51363000000,33887000000,20397000000,3118000000,3265000000,238000000,23457000000,None,8562000000,238000000,8227000000,8562000000,10134000000,9249000000,13384000000,1837000000,2545000000,5000000,471000000
2014-12-31,USD,54505000000,31327000000,14557000000,17416000000,8299000000,5612000000,23942000000,16967000000,5763000000,4083000000,764000000,3319000000,None,None,2859000000,-5612000000,2892000000,43764000000,28089000000,16459000000,1823000000,3533000000,1520000000,19722000000,None,9881000000,1520000000,8265000000,9881000000,8287000000,7410000000,10741000000,1837000000,1949000000,5000000,465000000
