,date,value
0,2024-04-01,68977.0
1,2024-01-01,68549.0
2,2023-10-01,68351.0
3,2023-07-01,67916.0
4,2023-04-01,67295.0
5,2023-01-01,66967.0
6,2022-10-01,66575.0
7,2022-07-01,66115.0
8,2022-04-01,65760.0
9,2022-01-01,65779.0
10,2021-10-01,65986.0
11,2021-07-01,64877.0
12,2021-04-01,64392.0
13,2021-01-01,63428.0
14,2020-10-01,62554.0
15,2020-07-01,61915.0
16,2020-04-01,57449.0
17,2020-01-01,62416.0
18,2019-10-01,63360.0
19,2019-07-01,63022.0
20,2019-04-01,62385.0
21,2019-01-01,61939.0
22,2018-10-01,61619.0
23,2018-07-01,61622.0
24,2018-04-01,61336.0
25,2018-01-01,61093.0
26,2017-10-01,60674.0
27,2017-07-01,60099.0
28,2017-04-01,59736.0
29,2017-01-01,59494.0
30,2016-10-01,59296.0
31,2016-07-01,59084.0
32,2016-04-01,58787.0
33,2016-01-01,58704.0
34,2015-10-01,58470.0
35,2015-07-01,58486.0
36,2015-04-01,58376.0
37,2015-01-01,58121.0
38,2014-10-01,57702.0
39,2014-07-01,57536.0
40,2014-04-01,56968.0
41,2014-01-01,56345.0
42,2013-10-01,56642.0
43,2013-07-01,56272.0
44,2013-04-01,55914.0
45,2013-01-01,55859.0
46,2012-10-01,55403.0
47,2012-07-01,55454.0
48,2012-04-01,55490.0
49,2012-01-01,55342.0
50,2011-10-01,54979.0
51,2011-07-01,54482.0
52,2011-04-01,54610.0
53,2011-01-01,54341.0
54,2010-10-01,54569.0
55,2010-07-01,54401.0
56,2010-04-01,54100.0
57,2010-01-01,53683.0
58,2009-10-01,53531.0
59,2009-07-01,53081.0
60,2009-04-01,53017.0
61,2009-01-01,53221.0
62,2008-10-01,53941.0
63,2008-07-01,55278.0
64,2008-04-01,55705.0
65,2008-01-01,55497.0
66,2007-10-01,55857.0
67,2007-07-01,55649.0
68,2007-04-01,55474.0
69,2007-01-01,55260.0
70,2006-10-01,55216.0
71,2006-07-01,54886.0
72,2006-04-01,54945.0
73,2006-01-01,54927.0
74,2005-10-01,54317.0
75,2005-07-01,54153.0
76,2005-04-01,53868.0
77,2005-01-01,53719.0
78,2004-10-01,53242.0
79,2004-07-01,52835.0
80,2004-04-01,52469.0
81,2004-01-01,52179.0
82,2003-10-01,51986.0
83,2003-07-01,51512.0
84,2003-04-01,50796.0
85,2003-01-01,50462.0
86,2002-10-01,50302.0
87,2002-07-01,50362.0
88,2002-04-01,50286.0
89,2002-01-01,50091.0
90,2001-10-01,49783.0
91,2001-07-01,49774.0
92,2001-04-01,50105.0
93,2001-01-01,49911.0
94,2000-10-01,50190.0
