,date,value
0,2024-08-01,314.796
1,2024-07-01,314.54
2,2024-06-01,314.175
3,2024-05-01,314.069
4,2024-04-01,313.548
5,2024-03-01,312.332
6,2024-02-01,310.326
7,2024-01-01,308.417
8,2023-12-01,306.746
9,2023-11-01,307.051
10,2023-10-01,307.671
11,2023-09-01,307.789
12,2023-08-01,307.026
13,2023-07-01,305.691
14,2023-06-01,305.109
15,2023-05-01,304.127
16,2023-04-01,303.363
17,2023-03-01,301.836
18,2023-02-01,300.84
19,2023-01-01,299.17
20,2022-12-01,296.797
21,2022-11-01,297.711
22,2022-10-01,298.012
23,2022-09-01,296.808
24,2022-08-01,296.171
25,2022-07-01,296.276
26,2022-06-01,296.311
27,2022-05-01,292.296
28,2022-04-01,289.109
29,2022-03-01,287.504
30,2022-02-01,283.716
31,2022-01-01,281.148
32,2021-12-01,278.802
33,2021-11-01,277.948
34,2021-10-01,276.589
35,2021-09-01,274.31
36,2021-08-01,273.567
37,2021-07-01,273.003
38,2021-06-01,271.696
39,2021-05-01,269.195
40,2021-04-01,267.054
41,2021-03-01,264.877
42,2021-02-01,263.014
43,2021-01-01,261.582
44,2020-12-01,260.474
45,2020-11-01,260.229
46,2020-10-01,260.388
47,2020-09-01,260.28
48,2020-08-01,259.918
49,2020-07-01,259.101
50,2020-06-01,257.797
51,2020-05-01,256.394
52,2020-04-01,256.389
53,2020-03-01,258.115
54,2020-02-01,258.678
55,2020-01-01,257.971
56,2019-12-01,256.974
57,2019-11-01,257.208
58,2019-10-01,257.346
59,2019-09-01,256.759
60,2019-08-01,256.558
61,2019-07-01,256.571
62,2019-06-01,256.143
63,2019-05-01,256.092
64,2019-04-01,255.548
65,2019-03-01,254.202
66,2019-02-01,252.776
67,2019-01-01,251.712
68,2018-12-01,251.233
69,2018-11-01,252.038
70,2018-10-01,252.885
71,2018-09-01,252.439
72,2018-08-01,252.146
73,2018-07-01,252.006
74,2018-06-01,251.989
75,2018-05-01,251.588
76,2018-04-01,250.546
77,2018-03-01,249.554
78,2018-02-01,248.991
79,2018-01-01,247.867
80,2017-12-01,246.524
81,2017-11-01,246.669
82,2017-10-01,246.663
83,2017-09-01,246.819
84,2017-08-01,245.519
85,2017-07-01,244.786
86,2017-06-01,244.955
87,2017-05-01,244.733
88,2017-04-01,244.524
89,2017-03-01,243.801
90,2017-02-01,243.603
91,2017-01-01,242.839
92,2016-12-01,241.432
93,2016-11-01,241.353
94,2016-10-01,241.729
95,2016-09-01,241.428
96,2016-08-01,240.849
97,2016-07-01,240.628
98,2016-06-01,241.018
99,2016-05-01,240.229
100,2016-04-01,239.261
101,2016-03-01,238.132
102,2016-02-01,237.111
103,2016-01-01,236.916
104,2015-12-01,236.525
105,2015-11-01,237.336
106,2015-10-01,237.838
107,2015-09-01,237.945
108,2015-08-01,238.316
109,2015-07-01,238.654
110,2015-06-01,238.638
111,2015-05-01,237.805
112,2015-04-01,236.599
113,2015-03-01,236.119
114,2015-02-01,234.722
115,2015-01-01,233.707
116,2014-12-01,234.812
117,2014-11-01,236.151
118,2014-10-01,237.433
119,2014-09-01,238.031
120,2014-08-01,237.852
121,2014-07-01,238.25
122,2014-06-01,238.343
123,2014-05-01,237.9
124,2014-04-01,237.072
125,2014-03-01,236.293
126,2014-02-01,234.781
127,2014-01-01,233.916
128,2013-12-01,233.049
129,2013-11-01,233.069
130,2013-10-01,233.546
131,2013-09-01,234.149
132,2013-08-01,233.877
133,2013-07-01,233.596
134,2013-06-01,233.504
135,2013-05-01,232.945
136,2013-04-01,232.531
137,2013-03-01,232.773
138,2013-02-01,232.166
139,2013-01-01,230.28
140,2012-12-01,229.601
141,2012-11-01,230.221
142,2012-10-01,231.317
143,2012-09-01,231.407
