,date,value
0,2024-09-01,5.13
1,2024-08-01,5.33
2,2024-07-01,5.33
3,2024-06-01,5.33
4,2024-05-01,5.33
5,2024-04-01,5.33
6,2024-03-01,5.33
7,2024-02-01,5.33
8,2024-01-01,5.33
9,2023-12-01,5.33
10,2023-11-01,5.33
11,2023-10-01,5.33
12,2023-09-01,5.33
13,2023-08-01,5.33
14,2023-07-01,5.12
15,2023-06-01,5.08
16,2023-05-01,5.06
17,2023-04-01,4.83
18,2023-03-01,4.65
19,2023-02-01,4.57
20,2023-01-01,4.33
21,2022-12-01,4.1
22,2022-11-01,3.78
23,2022-10-01,3.08
24,2022-09-01,2.56
25,2022-08-01,2.33
26,2022-07-01,1.68
27,2022-06-01,1.21
28,2022-05-01,0.77
29,2022-04-01,0.33
30,2022-03-01,0.2
31,2022-02-01,0.08
32,2022-01-01,0.08
33,2021-12-01,0.08
34,2021-11-01,0.08
35,2021-10-01,0.08
36,2021-09-01,0.08
37,2021-08-01,0.09
38,2021-07-01,0.1
39,2021-06-01,0.08
40,2021-05-01,0.06
41,2021-04-01,0.07
42,2021-03-01,0.07
43,2021-02-01,0.08
44,2021-01-01,0.09
45,2020-12-01,0.09
46,2020-11-01,0.09
47,2020-10-01,0.09
48,2020-09-01,0.09
49,2020-08-01,0.1
50,2020-07-01,0.09
51,2020-06-01,0.08
52,2020-05-01,0.05
53,2020-04-01,0.05
54,2020-03-01,0.65
55,2020-02-01,1.58
56,2020-01-01,1.55
57,2019-12-01,1.55
58,2019-11-01,1.55
59,2019-10-01,1.83
60,2019-09-01,2.04
61,2019-08-01,2.13
62,2019-07-01,2.4
63,2019-06-01,2.38
64,2019-05-01,2.39
65,2019-04-01,2.42
66,2019-03-01,2.41
67,2019-02-01,2.4
68,2019-01-01,2.4
69,2018-12-01,2.27
70,2018-11-01,2.2
71,2018-10-01,2.19
72,2018-09-01,1.95
73,2018-08-01,1.91
74,2018-07-01,1.91
75,2018-06-01,1.82
76,2018-05-01,1.7
77,2018-04-01,1.69
78,2018-03-01,1.51
79,2018-02-01,1.42
80,2018-01-01,1.41
81,2017-12-01,1.3
82,2017-11-01,1.16
83,2017-10-01,1.15
84,2017-09-01,1.15
85,2017-08-01,1.16
86,2017-07-01,1.15
87,2017-06-01,1.04
88,2017-05-01,0.91
89,2017-04-01,0.9
90,2017-03-01,0.79
91,2017-02-01,0.66
92,2017-01-01,0.65
93,2016-12-01,0.54
94,2016-11-01,0.41
95,2016-10-01,0.4
96,2016-09-01,0.4
97,2016-08-01,0.4
98,2016-07-01,0.39
99,2016-06-01,0.38
100,2016-05-01,0.37
101,2016-04-01,0.37
102,2016-03-01,0.36
103,2016-02-01,0.38
104,2016-01-01,0.34
105,2015-12-01,0.24
106,2015-11-01,0.12
107,2015-10-01,0.12
108,2015-09-01,0.14
109,2015-08-01,0.14
110,2015-07-01,0.13
111,2015-06-01,0.13
112,2015-05-01,0.12
113,2015-04-01,0.12
114,2015-03-01,0.11
115,2015-02-01,0.11
116,2015-01-01,0.11
117,2014-12-01,0.12
118,2014-11-01,0.09
119,2014-10-01,0.09
120,2014-09-01,0.09
121,2014-08-01,0.09
122,2014-07-01,0.09
123,2014-06-01,0.1
124,2014-05-01,0.09
125,2014-04-01,0.09
126,2014-03-01,0.08
127,2014-02-01,0.07
128,2014-01-01,0.07
129,2013-12-01,0.09
130,2013-11-01,0.08
131,2013-10-01,0.09
132,2013-09-01,0.08
133,2013-08-01,0.08
134,2013-07-01,0.09
135,2013-06-01,0.09
136,2013-05-01,0.11
137,2013-04-01,0.15
138,2013-03-01,0.14
139,2013-02-01,0.15
140,2013-01-01,0.14
141,2012-12-01,0.16
142,2012-11-01,0.16
143,2012-10-01,0.16
144,2012-09-01,0.14
145,2012-08-01,0.13
146,2012-07-01,0.16
147,2012-06-01,0.16
148,2012-05-01,0.16
149,2012-04-01,0.14
150,2012-03-01,0.13
151,2012-02-01,0.1
152,2012-01-01,0.08
153,2011-12-01,0.07
154,2011-11-01,0.08
155,2011-10-01,0.07
156,2011-09-01,0.08
157,2011-08-01,0.1
158,2011-07-01,0.07
159,2011-06-01,0.09
160,2011-05-01,0.09
161,2011-04-01,0.1
162,2011-03-01,0.14
163,2011-02-01,0.16
164,2011-01-01,0.17
165,2010-12-01,0.18
166,2010-11-01,0.19
167,2010-10-01,0.19
168,2010-09-01,0.19
169,2010-08-01,0.19
170,2010-07-01,0.18
