,date,value
0,2024-04-01,5817.169
1,2024-01-01,5638.455
2,2023-10-01,5831.583
3,2023-07-01,5724.051
4,2023-04-01,5646.288
5,2023-01-01,5469.175
6,2022-10-01,5668.877
7,2022-07-01,5544.386
8,2022-04-01,5484.289
9,2022-01-01,5337.277
10,2021-10-01,5591.973
11,2021-07-01,5408.478
12,2021-04-01,5360.97
13,2021-01-01,5133.377
14,2020-10-01,5298.828
15,2020-07-01,5134.93
16,2020-04-01,4783.855
17,2020-01-01,5049.973
18,2019-10-01,5351.022
19,2019-07-01,5232.278
20,2019-04-01,5159.323
21,2019-01-01,4973.048
22,2018-10-01,5170.563
23,2018-07-01,5092.532
24,2018-04-01,5039.983
25,2018-01-01,4890.817
26,2017-10-01,5069.624
27,2017-07-01,4950.878
28,2017-04-01,4893.234
29,2017-01-01,4698.367
30,2016-10-01,4912.331
31,2016-07-01,4819.182
32,2016-04-01,4768.308
33,2016-01-01,4641.851
34,2015-10-01,4799.354
35,2015-07-01,4741.07
36,2015-04-01,4696.817
37,2015-01-01,4562.381
38,2014-10-01,4709.584
39,2014-07-01,4616.61
40,2014-04-01,4532.342
41,2014-01-01,4403.178
42,2013-10-01,4586.321
43,2013-07-01,4486.445
44,2013-04-01,4419.14
45,2013-01-01,4320.262
46,2012-10-01,4440.555
47,2012-07-01,4376.682
48,2012-04-01,4345.706
49,2012-01-01,4279.816
50,2011-10-01,4371.813
51,2011-07-01,4273.162
52,2011-04-01,4251.8
53,2011-01-01,4155.635
54,2010-10-01,4316.573
55,2010-07-01,4229.41
56,2010-04-01,4188.706
57,2010-01-01,4055.062
58,2009-10-01,4209.064
59,2009-07-01,4102.854
60,2009-04-01,4060.384
61,2009-01-01,3976.808
62,2008-10-01,4179.959
63,2008-07-01,4192.399
64,2008-04-01,4226.589
65,2008-01-01,4182.537
66,2007-10-01,4305.666
67,2007-07-01,4208.612
68,2007-04-01,4184.414
69,2007-01-01,4063.753
70,2006-10-01,4201.0
71,2006-07-01,4111.947
72,2006-04-01,4116.718
73,2006-01-01,4003.482
74,2005-10-01,4107.378
75,2005-07-01,4040.686
76,2005-04-01,3972.818
77,2005-01-01,3867.076
78,2004-10-01,3990.913
79,2004-07-01,3879.617
80,2004-04-01,3837.587
81,2004-01-01,3741.64
82,2003-10-01,3860.185
83,2003-07-01,3753.431
84,2003-04-01,3680.929
85,2003-01-01,3582.767
86,2002-10-01,3712.845
87,2002-07-01,3650.253
88,2002-04-01,3608.496
89,2002-01-01,3501.118
