,date,value
0,2024-08-01,637747.0
1,2024-07-01,629023.0
2,2024-06-01,604360.0
3,2024-05-01,643843.0
4,2024-04-01,605419.0
5,2024-03-01,609462.0
6,2024-02-01,555528.0
7,2024-01-01,552441.0
8,2023-12-01,668957.0
9,2023-11-01,619189.0
10,2023-10-01,604435.0
11,2023-09-01,589258.0
12,2023-08-01,624457.0
13,2023-07-01,601631.0
14,2023-06-01,608430.0
15,2023-05-01,627266.0
16,2023-04-01,584626.0
17,2023-03-01,600348.0
18,2023-02-01,526218.0
19,2023-01-01,545318.0
20,2022-12-01,649106.0
21,2022-11-01,599732.0
22,2022-10-01,591560.0
23,2022-09-01,572457.0
24,2022-08-01,608423.0
25,2022-07-01,595135.0
26,2022-06-01,605074.0
27,2022-05-01,612080.0
28,2022-04-01,592577.0
29,2022-03-01,595064.0
30,2022-02-01,505128.0
31,2022-01-01,514659.0
32,2021-12-01,625145.0
33,2021-11-01,573608.0
34,2021-10-01,552729.0
35,2021-09-01,528288.0
36,2021-08-01,549895.0
37,2021-07-01,552194.0
38,2021-06-01,557682.0
39,2021-05-01,565431.0
40,2021-04-01,554610.0
41,2021-03-01,560731.0
42,2021-02-01,437538.0
43,2021-01-01,461994.0
44,2020-12-01,557046.0
45,2020-11-01,490451.0
46,2020-10-01,493034.0
47,2020-09-01,473267.0
48,2020-08-01,486727.0
49,2020-07-01,492070.0
50,2020-06-01,478936.0
51,2020-05-01,461122.0
52,2020-04-01,376261.0
53,2020-03-01,425698.0
54,2020-02-01,413857.0
55,2020-01-01,417244.0
56,2019-12-01,518796.0
57,2019-11-01,467368.0
58,2019-10-01,455157.0
59,2019-09-01,428472.0
60,2019-08-01,472933.0
61,2019-07-01,461608.0
62,2019-06-01,448131.0
63,2019-05-01,475630.0
64,2019-04-01,442504.0
65,2019-03-01,446781.0
66,2019-02-01,384814.0
67,2019-01-01,399276.0
68,2018-12-01,493444.0
69,2018-11-01,459625.0
70,2018-10-01,442154.0
71,2018-09-01,417148.0
72,2018-08-01,456103.0
73,2018-07-01,441712.0
74,2018-06-01,443762.0
75,2018-05-01,464422.0
76,2018-04-01,420206.0
77,2018-03-01,444725.0
78,2018-02-01,380456.0
79,2018-01-01,389624.0
80,2017-12-01,496688.0
81,2017-11-01,441896.0
82,2017-10-01,417757.0
83,2017-09-01,412534.0
84,2017-08-01,431816.0
85,2017-07-01,416927.0
86,2017-06-01,423102.0
87,2017-05-01,434531.0
88,2017-04-01,407275.0
89,2017-03-01,423024.0
90,2017-02-01,365596.0
91,2017-01-01,369068.0
92,2016-12-01,481923.0
93,2016-11-01,413841.0
94,2016-10-01,397328.0
95,2016-09-01,394122.0
96,2016-08-01,416410.0
97,2016-07-01,405871.0
98,2016-06-01,409963.0
99,2016-05-01,412916.0
100,2016-04-01,394629.0
101,2016-03-01,404873.0
102,2016-02-01,363412.0
103,2016-01-01,351667.0
104,2015-12-01,463894.0
105,2015-11-01,395988.0
106,2015-10-01,392551.0
107,2015-09-01,381959.0
108,2015-08-01,404903.0
109,2015-07-01,406543.0
110,2015-06-01,397804.0
111,2015-05-01,409460.0
112,2015-04-01,387360.0
113,2015-03-01,393097.0
114,2015-02-01,341829.0
115,2015-01-01,350274.0
116,2014-12-01,451049.0
117,2014-11-01,391470.0
118,2014-10-01,388364.0
119,2014-09-01,374381.0
120,2014-08-01,401432.0
121,2014-07-01,394680.0
122,2014-06-01,385463.0
123,2014-05-01,408258.0
124,2014-04-01,383796.0
125,2014-03-01,383540.0
126,2014-02-01,337453.0
127,2014-01-01,340439.0
128,2013-12-01,430538.0
129,2013-11-01,378665.0
130,2013-10-01,369753.0
131,2013-09-01,352655.0
132,2013-08-01,388208.0
133,2013-07-01,376960.0
134,2013-06-01,369305.0
135,2013-05-01,389674.0
136,2013-04-01,362960.0
137,2013-03-01,374161.0
138,2013-02-01,332469.0
139,2013-01-01,333694.0
140,2012-12-01,416807.0
141,2012-11-01,368593.0
142,2012-10-01,355823.0
143,2012-09-01,342582.0
144,2012-08-01,372986.0
145,2012-07-01,351520.0
146,2012-06-01,356083.0
147,2012-05-01,373129.0
148,2012-04-01,349194.0
149,2012-03-01,368502.0
150,2012-02-01,331470.0
151,2012-01-01,315540.0
152,2011-12-01,408910.0
153,2011-11-01,351517.0
154,2011-10-01,337067.0
155,2011-09-01,333642.0
156,2011-08-01,352224.0
157,2011-07-01,341381.0
158,2011-06-01,346620.0
159,2011-05-01,348979.0
160,2011-04-01,339014.0
161,2011-03-01,345052.0
162,2011-02-01,299920.0
163,2011-01-01,298626.0
164,2010-12-01,386878.0
165,2010-11-01,328381.0
166,2010-10-01,315059.0
167,2010-09-01,307638.0
168,2010-08-01,322319.0
169,2010-07-01,320915.0
170,2010-06-01,319183.0
171,2010-05-01,324820.0
172,2010-04-01,316940.0
173,2010-03-01,321305.0
174,2010-02-01,275566.0
175,2010-01-01,279044.0
176,2009-12-01,362735.0
177,2009-11-01,303850.0
178,2009-10-01,300360.0
179,2009-09-01,288071.0
180,2009-08-01,314505.0
181,2009-07-01,308847.0
182,2009-06-01,306050.0
183,2009-05-01,307481.0
184,2009-04-01,292041.0
185,2009-03-01,290068.0
186,2009-02-01,264465.0
187,2009-01-01,273998.0
188,2008-12-01,346513.0
189,2008-11-01,299238.0
190,2008-10-01,311422.0
191,2008-09-01,313308.0
192,2008-08-01,342443.0
193,2008-07-01,344158.0
194,2008-06-01,339791.0
195,2008-05-01,357277.0
196,2008-04-01,331002.0
197,2008-03-01,334416.0
198,2008-02-01,308171.0
199,2008-01-01,307576.0
200,2007-12-01,387473.0
201,2007-11-01,341848.0
202,2007-10-01,331073.0
203,2007-09-01,317145.0
204,2007-08-01,349191.0
205,2007-07-01,333815.0
206,2007-06-01,338189.0
207,2007-05-01,353201.0
208,2007-04-01,321981.0
209,2007-03-01,335917.0
210,2007-02-01,290065.0
211,2007-01-01,295284.0
212,2006-12-01,380188.0
213,2006-11-01,323089.0
214,2006-10-01,312976.0
215,2006-09-01,310775.0
216,2006-08-01,339155.0
217,2006-07-01,325905.0
218,2006-06-01,330844.0
219,2006-05-01,337393.0
220,2006-04-01,316526.0
221,2006-03-01,326153.0
222,2006-02-01,282417.0
223,2006-01-01,286152.0
224,2005-12-01,370726.0
225,2005-11-01,311715.0
226,2005-10-01,302213.0
227,2005-09-01,300439.0
228,2005-08-01,321409.0
229,2005-07-01,316887.0
230,2005-06-01,317375.0
231,2005-05-01,311292.0
232,2005-04-01,302054.0
233,2005-03-01,306384.0
234,2005-02-01,265320.0
235,2005-01-01,263469.0
236,2004-12-01,354627.0
237,2004-11-01,294278.0
238,2004-10-01,287468.0
239,2004-09-01,282974.0
240,2004-08-01,294133.0
241,2004-07-01,294875.0
242,2004-06-01,289664.0
243,2004-05-01,296253.0
244,2004-04-01,284325.0
245,2004-03-01,287944.0
246,2004-02-01,253689.0
247,2004-01-01,252818.0
248,2003-12-01,327693.0
249,2003-11-01,272396.0
250,2003-10-01,273781.0
251,2003-09-01,265331.0
252,2003-08-01,285212.0
253,2003-07-01,279323.0
254,2003-06-01,271242.0
255,2003-05-01,281482.0
256,2003-04-01,265990.0
257,2003-03-01,264532.0
258,2003-02-01,233478.0
259,2003-01-01,242271.0
260,2002-12-01,308821.0
261,2002-11-01,263738.0
262,2002-10-01,259945.0
263,2002-09-01,246350.0
264,2002-08-01,277716.0
265,2002-07-01,266795.0
266,2002-06-01,260385.0
267,2002-05-01,271682.0
268,2002-04-01,257357.0
269,2002-03-01,257133.0
270,2002-02-01,228084.0
271,2002-01-01,230546.0
272,2001-12-01,298666.0
273,2001-11-01,262004.0
274,2001-10-01,265188.0
275,2001-09-01,236210.0
276,2001-08-01,266460.0
277,2001-07-01,251504.0
278,2001-06-01,260315.0
279,2001-05-01,268658.0
280,2001-04-01,249062.0
281,2001-03-01,253439.0
282,2001-02-01,223971.0
283,2001-01-01,226791.0
284,2000-12-01,294197.0
285,2000-11-01,252145.0
286,2000-10-01,245167.0
287,2000-09-01,243624.0
288,2000-08-01,257487.0
289,2000-07-01,244445.0
290,2000-06-01,255066.0
291,2000-05-01,257581.0
292,2000-04-01,239051.0
293,2000-03-01,253717.0
294,2000-02-01,227087.0
295,2000-01-01,213709.0
296,1999-12-01,293013.0
297,1999-11-01,240857.0
298,1999-10-01,233193.0
299,1999-09-01,230665.0
300,1999-08-01,240478.0
301,1999-07-01,236992.0
302,1999-06-01,236830.0
303,1999-05-01,237462.0
304,1999-04-01,227109.0
305,1999-03-01,230230.0
306,1999-02-01,199451.0
307,1999-01-01,196810.0
308,1998-12-01,265618.0
309,1998-11-01,218969.0
310,1998-10-01,220499.0
311,1998-09-01,208915.0
312,1998-08-01,216605.0
313,1998-07-01,217687.0
314,1998-06-01,220867.0
315,1998-05-01,221155.0
316,1998-04-01,212262.0
317,1998-03-01,207973.0
318,1998-02-01,183767.0
319,1998-01-01,187445.0
320,1997-12-01,249389.0
321,1997-11-01,207533.0
322,1997-10-01,210145.0
323,1997-09-01,201415.0
324,1997-08-01,211952.0
325,1997-07-01,208856.0
326,1997-06-01,205491.0
327,1997-05-01,211516.0
328,1997-04-01,199219.0
329,1997-03-01,203750.0
330,1997-02-01,178428.0
331,1997-01-01,181073.0
332,1996-12-01,237478.0
333,1996-11-01,203621.0
334,1996-10-01,201927.0
335,1996-09-01,189424.0
336,1996-08-01,204270.0
337,1996-07-01,197140.0
338,1996-06-01,196842.0
339,1996-05-01,205797.0
340,1996-04-01,191886.0
341,1996-03-01,191851.0
342,1996-02-01,173941.0
343,1996-01-01,167372.0
344,1995-12-01,227552.0
345,1995-11-01,193405.0
346,1995-10-01,184276.0
347,1995-09-01,182521.0
348,1995-08-01,193370.0
349,1995-07-01,182909.0
350,1995-06-01,191609.0
351,1995-05-01,190269.0
352,1995-04-01,176635.0
353,1995-03-01,181910.0
354,1995-02-01,155156.0
355,1995-01-01,158004.0
356,1994-12-01,221549.0
357,1994-11-01,184272.0
358,1994-10-01,178642.0
359,1994-09-01,175128.0
360,1994-08-01,182445.0
361,1994-07-01,173198.0
362,1994-06-01,178509.0
363,1994-05-01,175527.0
364,1994-04-01,170795.0
365,1994-03-01,173562.0
366,1994-02-01,146332.0
367,1994-01-01,145276.0
368,1993-12-01,206174.0
369,1993-11-01,169980.0
