,date,value
0,2024-09-01,4.04
1,2024-08-01,4.15
2,2024-07-01,4.46
3,2024-06-01,4.44
4,2024-05-01,4.62
5,2024-04-01,4.66
6,2024-03-01,4.36
7,2024-02-01,4.38
8,2024-01-01,4.26
9,2023-12-01,4.14
10,2023-11-01,4.66
11,2023-10-01,4.95
12,2023-09-01,4.47
13,2023-08-01,4.28
14,2023-07-01,3.96
15,2023-06-01,3.87
16,2023-05-01,3.86
17,2023-04-01,3.68
18,2023-03-01,3.77
19,2023-02-01,3.8
20,2023-01-01,3.66
21,2022-12-01,3.66
22,2022-11-01,4.0
23,2022-10-01,4.04
24,2022-09-01,3.56
25,2022-08-01,3.13
26,2022-07-01,3.1
27,2022-06-01,3.25
28,2022-05-01,3.07
29,2022-04-01,2.81
30,2022-03-01,2.41
31,2022-02-01,2.25
32,2022-01-01,2.1
33,2021-12-01,1.85
34,2021-11-01,1.94
35,2021-10-01,2.06
36,2021-09-01,1.94
37,2021-08-01,1.92
38,2021-07-01,1.94
39,2021-06-01,2.16
40,2021-05-01,2.32
41,2021-04-01,2.3
42,2021-03-01,2.34
43,2021-02-01,2.04
44,2021-01-01,1.82
45,2020-12-01,1.67
46,2020-11-01,1.62
47,2020-10-01,1.57
48,2020-09-01,1.42
49,2020-08-01,1.36
50,2020-07-01,1.31
51,2020-06-01,1.49
52,2020-05-01,1.38
53,2020-04-01,1.27
54,2020-03-01,1.46
55,2020-02-01,1.97
56,2020-01-01,2.22
57,2019-12-01,2.3
58,2019-11-01,2.28
59,2019-10-01,2.19
60,2019-09-01,2.16
61,2019-08-01,2.12
62,2019-07-01,2.57
63,2019-06-01,2.57
64,2019-05-01,2.82
65,2019-04-01,2.94
66,2019-03-01,2.98
67,2019-02-01,3.02
68,2019-01-01,3.04
69,2018-12-01,3.1
70,2018-11-01,3.36
71,2018-10-01,3.34
72,2018-09-01,3.15
73,2018-08-01,3.04
74,2018-07-01,3.01
75,2018-06-01,3.05
76,2018-05-01,3.13
77,2018-04-01,3.07
78,2018-03-01,3.09
79,2018-02-01,3.13
80,2018-01-01,2.88
81,2017-12-01,2.77
82,2017-11-01,2.8
83,2017-10-01,2.88
84,2017-09-01,2.78
85,2017-08-01,2.8
86,2017-07-01,2.88
87,2017-06-01,2.8
