,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,goodwill,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,totalNonCurrentLiabilities,longTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,2024-06-30,USD,554818000000,173307000000,71178000000,89092000000,34109000000,50106000000,160798000000,220717000000,22879000000,22879000000,17914000000,5906000000,63340000000,318371000000,158172000000,81817000000.0,166899000000,62683000000.0,54889000000.0,62759000000.0,42747000000,27226000000.0,236447000000,7837000000,137534000000,110000000,10490000000
1,2024-03-31,USD,530969000000,163989000000,72852000000,85074000000,31147000000,47768000000,157036000000,209950000000,22770000000,22770000000,12222000000,5568000000,60947000000,314308000000,152965000000,73068000000.0,167743000000,66852000000.0,57634000000.0,66902000000.0,44915000000,26657000000.0,216661000000,7837000000,124049000000,109000000,10403000000
2,2023-12-31,USD,527854000000,172351000000,73387000000,86780000000,33318000000,52253000000,159019000000,204177000000,30476000000,22789000000,13393000000,6897000000,56024000000,325979000000,164917000000,84981000000.0,166762000000,67182000000.0,58314000000.0,67329000000.0,45764000000,25451000000.0,201875000000,7837000000,113618000000,109000000,10383000000
3,2023-09-30,USD,486883000000,142995000000,49605000000,64169000000,35406000000,43420000000,147431000000,196468000000,22749000000,22749000000,14564000000,5320000000,53913000000,303910000000,145214000000,72004000000.0,161396000000,67472000000.0,61098000000.0,67638000000.0,42340000000,21707000000.0,182973000000,7837000000,102994000000,108000000,10330000000
4,2023-06-30,USD,477607000000,140482000000,49529000000,63970000000,36587000000,39925000000,143356000000,193784000000,22785000000,22785000000,14441000000,9000000000,50224000000,309005000000,148238000000,69481000000.0,163467000000,67472000000.0,63092000000.0,68572000000.0,49232000000,21853000000.0,168602000000,7837000000,93115000000,108000000,10313000000
5,2023-03-31,USD,464378000000,136221000000,49343000000,64405000000,34170000000,37646000000,137417000000,190754000000,22749000000,22749000000,15062000000,377000000,46392000000,309852000000,147570000000,66907000000.0,165082000000,69472000000.0,67084000000.0,70572000000.0,66382000000,20931000000.0,154526000000,7837000000,86365000000,108000000,10258000000
6,2022-12-31,USD,462675000000,146791000000,53888000000,70026000000,34405000000,42360000000,135273000000,186715000000,26385000000,20288000000,16138000000,358000000,42758000000,316632000000,155393000000,79600000000.0,164139000000,70542000000.0,67150000000.0,71742000000.0,62566000000,21121000000.0,146043000000,7837000000,83193000000,108000000,10242000000
7,2022-09-30,USD,428362000000,131463000000,34947000000,58662000000,36647000000,36154000000,119711000000,177195000000,20168000000,20168000000,23715000000,36154000000,37503000000,290873000000,140363000000,67760000000.0,153210000000,63541000000.0,58919000000.0,64641000000.0,59974000000,22259000000.0,137489000000,7837000000,82915000000,107000000,10198000000
8,2022-06-30,USD,419728000000,133667000000,37478000000,60710000000,38153000000,34804000000,112370000000,173706000000,20195000000,20195000000,23232000000,207000000,33730000000,288326000000,140291000000,71219000000.0,150635000000,63435000000.0,58053000000.0,63670000000.0,56254000000,23458000000.0,131402000000,7837000000,80043000000,107000000,10183000000
9,2022-03-31,USD,410767000000,133876000000,36393000000,66385000000,34987000000,32504000000,108438000000,168468000000,20229000000,20229000000,29992000000,191000000,32033000000,276766000000,139508000000,68547000000.0,139758000000,50553000000.0,47556000000.0,50553000000.0,58141000000,23971000000.0,134001000000,4503000000,82071000000,5000000,509000000
