Date,Open,High,Low,Close,MA_21,Stochastic_Oscillator,ATR,Cumulative_Return,Volatility,Price_Gap,Durable_Goods_Orders_Quarterly,Federal_Funds_Rate_Quarterly,Retail_Sales_Quarterly,Unemployment_Rate_Quarterly,cashAndShortTermInvestments,inventory,shortTermInvestments,otherCurrentAssets,totalCurrentLiabilities,currentAccountsPayable,otherCurrentLiabilities,changeInOperatingLiabilities,changeInOperatingAssets,capitalExpenditures,changeInReceivables,changeInInventory,cashflowFromInvestment,surprisePercentage,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,incomeTaxExpense,Quarterly_Return,Hybrid_Price_Movement_Class,Year
2009-03-31,2.567500114440918,3.7804999351501465,2.381500005722046,3.671999931335449,3.070679444192317,65.43087831459326,0.1169779985509019,1.3509933844544415,0.2115140560491178,0.0014499942461649,145856.66666666666,0.1833333333333333,276177.0,145856.66666666666,33266754098.360657,14953409836.065577,12573672131.14754,2440475409.836066,59428262295.08197,32190783333.33333,19501836065.57377,1653786885.2459016,881721311.4754099,5245475409.836065,-1304035087.7192984,551016393.4426229,-5660934426.229508,0.0,451000000.0,4889000000.0,4438000000.0,3741000000.0,69000000.0,0.1391612652391159,3,2009
2009-06-30,3.651000022888184,4.427999973297119,3.5855000019073486,4.183000087738037,3.910457682627579,58.38347741025347,0.1028395585732665,1.538999333164796,0.1610827643299478,-0.0012539795466831,147576.33333333334,0.18,301857.3333333333,147576.33333333334,3212000000.0,1325000000.0,1276000000.0,183000000.0,3636000000.0,32190783333.33333,1128000000.0,50000000.0,7000000.0,78000000.0,-16000000.0,23000000.0,-279000000.0,0.0,1133000000.0,4644000000.0,3808000000.0,3518000000.0,39000000.0,0.1159455231512244,3,2009
2009-09-30,4.2210001945495605,4.724999904632568,3.7704999446868896,4.668000221252441,4.182420385203192,53.72771192997467,0.0929001013615301,1.7174394159779731,0.1575025085307259,-0.0039921887218952,156525.66666666666,0.1566666666666666,303807.6666666667,156525.66666666666,4001000000.0,1617000000.0,1487000000.0,80000000.0,4537000000.0,3354000000.0,1183000000.0,698000000.0,431000000.0,103000000.0,155000000.0,276000000.0,-302000000.0,0.0,1273000000.0,5443000000.0,4504000000.0,4176000000.0,60000000.0,0.4408739317387414,3,2009
2009-12-31,4.625,7.295499801635742,4.41349983215332,6.72599983215332,5.71809559279964,69.00480666759347,0.1406518055924347,2.47461368382327,0.3280688243837495,0.027390643954277,162970.33333333334,0.12,322315.0,162970.33333333334,6366000000.0,2171000000.0,2922000000.0,272000000.0,7364000000.0,5605000000.0,1759000000.0,2662000000.0,848000000.0,137000000.0,509000000.0,339000000.0,-1608000000.0,0.0,1977000000.0,9519000000.0,8029000000.0,7543000000.0,85000000.0,0.009292298774856,2,2009
2010-03-31,6.8125,6.9095001220703125,5.690999984741211,6.78849983215332,6.306039002795968,48.48880668780145,0.1319314863977722,2.497608533525705,0.2147452561379882,0.0069918397997246,177515.33333333334,0.1333333333333333,291971.6666666667,177515.33333333334,5063000000.0,1820000000.0,3219000000.0,266000000.0,5193000000.0,3619000000.0,1574000000.0,-2253000000.0,-775000000.0,140000000.0,-454000000.0,-321000000.0,-542000000.0,0.0,1206000000.0,7124000000.0,5918000000.0,5501000000.0,100000000.0,-0.1952566906116637,1,2010
2010-06-30,6.789999961853027,7.554500102996826,5.30049991607666,5.4629998207092285,6.603581621353138,46.68532090472147,0.1735521411679499,2.009933756826025,0.2342012194355944,-0.0095079437134758,188381.0,0.1933333333333333,320314.3333333333,188381.0,5108000000.0,1940000000.0,3479000000.0,265000000.0,5250000000.0,3545000000.0,1705000000.0,119000000.0,183000000.0,196000000.0,42000000.0,141000000.0,-475000000.0,-33.3333,1147000000.0,6557000000.0,5410000000.0,4957000000.0,88000000.0,0.4374886366026778,3,2010
2010-09-30,5.445000171661377,8.08899974822998,5.289999961853027,7.853000164031982,6.265865691715763,74.28042277279044,0.1430536162640366,2.8892569357615416,0.279237624358657,-0.011624976992607,193234.66666666663,0.1866666666666666,316957.3333333333,193234.66666666663,5885000000.0,2515000000.0,4346000000.0,200000000.0,6375000000.0,4614000000.0,1761000000.0,1086000000.0,569000000.0,315000000.0,64000000.0,505000000.0,-1128000000.0,50.0,1257000000.0,7551000000.0,6294000000.0,5786000000.0,79000000.0,0.1460588070813322,3,2010
2010-12-31,7.854000091552734,9.282500267028809,7.570000171661377,9.0,8.25772808208352,66.95185392108044,0.165280681103468,3.3112583571503373,0.2592003182325474,0.0140156149864196,195980.3333333333,0.1866666666666666,343439.3333333333,195980.3333333333,8762000000.0,3202000000.0,4985000000.0,196000000.0,10372000000.0,8051000000.0,2321000000.0,4160000000.0,1336000000.0,328000000.0,643000000.0,693000000.0,-1215000000.0,25.0,12948000000.0,12948000000.0,10866000000.0,10317000000.0,84000000.0,0.0007222493489583,2,2010
2011-03-31,9.068499565124512,9.579999923706056,8.029500007629395,9.006500244140625,8.935299543741111,46.93232935585988,0.1541232238716794,3.313649911343023,0.2814885560215925,-0.0107017024870842,201527.0,0.1566666666666666,314532.6666666667,201527.0,6881000000.0,2888000000.0,4240000000.0,215000000.0,7730000000.0,5540000000.0,2190000000.0,-2832000000.0,-702000000.0,298000000.0,-359000000.0,-343000000.0,390000000.0,-33.3333,1575000000.0,9845000000.0,8270000000.0,7608000000.0,43000000.0,0.1352355993223208,3,2011
2011-06-30,9.07900047302246,10.319499969482422,8.768500328063965,10.224499702453612,9.383039992052051,58.117103057606016,0.1672369758017752,3.7617733430478544,0.304725839025077,-0.001618945409381,205498.3333333333,0.0933333333333333,344871.0,205498.3333333333,6355000000.0,3229000000.0,4308000000.0,257000000.0,8045000000.0,5721000000.0,2324000000.0,177000000.0,347000000.0,433000000.0,73000000.0,274000000.0,-951000000.0,0.0,1622000000.0,9898000000.0,8276000000.0,7525000000.0,109000000.0,0.0574111115722966,3,2011
