iter	Passed	Remaining
0	32	32582
1	39	19577
2	48	16195
3	54	13539
4	62	12393
5	68	11269
6	74	10516
7	81	10063
8	86	9574
9	95	9466
10	101	9089
11	109	9021
12	115	8801
13	124	8801
14	133	8734
15	142	8777
16	152	8800
17	162	8842
18	169	8772
19	178	8762
20	185	8654
21	194	8646
22	203	8626
23	214	8732
24	225	8808
25	233	8749
26	244	8797
27	255	8881
28	265	8883
29	276	8932
30	284	8889
31	294	8918
32	304	8932
33	312	8873
34	323	8909
35	330	8858
36	341	8885
37	349	8847
38	358	8824
39	366	8789
40	373	8743
41	379	8658
42	388	8644
43	395	8584
44	404	8582
45	410	8513
46	419	8501
47	425	8429
48	432	8396
49	438	8325
50	443	8261
51	452	8243
52	458	8187
53	466	8177
54	471	8107
55	478	8062
56	485	8036
57	491	7977
58	498	7956
59	503	7894
60	511	7867
61	518	7843
62	524	7800
63	532	7781
64	537	7738
65	543	7697
66	551	7686
67	557	7645
68	566	7646
69	572	7604
70	580	7598
71	587	7569
72	594	7554
73	600	7519
74	605	7472
75	613	7460
76	619	7424
77	625	7390
78	632	7369
79	637	7335
80	646	7334
81	652	7301
82	658	7275
83	665	7256
84	674	7261
85	680	7235
86	686	7202
87	694	7198
88	699	7163
89	705	7131
90	712	7118
91	718	7087
92	724	7065
93	730	7041
94	736	7011
95	742	6995
96	748	6970
97	753	6935
98	760	6922
99	766	6894
100	771	6866
101	777	6849
102	783	6826
103	792	6831
104	799	6813
105	807	6814
106	814	6798
107	821	6788
108	828	6770
109	834	6749
110	842	6751
111	848	6729
112	855	6716
113	861	6699
114	869	6690
115	877	6689
116	883	6669
117	892	6670
118	897	6645
119	905	6642
120	911	6621
121	919	6617
122	926	6602
123	931	6581
124	939	6574
125	945	6556
126	952	6547
127	958	6530
128	964	6509
129	970	6497
130	977	6482
131	987	6490
132	994	6480
133	1003	6487
134	1009	6467
135	1014	6446
136	1022	6438
137	1027	6418
138	1035	6411
139	1040	6392
140	1045	6369
141	1053	6364
142	1058	6343
143	1063	6323
144	1086	6404
145	1091	6386
146	1098	6376
147	1105	6364
148	1111	6348
149	1120	6352
150	1126	6334
151	1137	6345
152	1143	6332
153	1152	6329
154	1161	6330
155	1168	6320
