iter	Passed	Remaining
0	12	12016
1	19	9736
2	28	9391
3	41	10281
4	53	10575
5	65	10835
6	74	10560
7	83	10397
8	98	10871
9	108	10707
10	115	10420
11	125	10361
12	135	10271
13	145	10218
14	154	10133
15	161	9952
16	168	9746
17	176	9632
18	183	9490
19	193	9457
20	199	9310
21	208	9287
22	221	9416
23	229	9316
24	242	9456
25	250	9381
26	258	9320
27	264	9186
28	271	9087
29	278	9007
30	284	8900
31	290	8796
32	296	8687
33	305	8671
34	311	8575
35	316	8487
36	323	8409
37	328	8315
38	337	8311
39	343	8233
40	348	8157
41	355	8097
42	360	8028
43	367	7989
44	372	7911
45	377	7835
46	384	7792
47	389	7730
48	396	7690
49	402	7647
50	408	7595
51	414	7555
52	420	7519
53	426	7465
54	433	7444
55	438	7396
56	444	7355
57	451	7329
58	456	7282
59	463	7253
60	473	7289
61	480	7266
62	486	7236
63	491	7194
64	499	7188
65	505	7156
66	510	7115
67	517	7098
68	523	7062
69	530	7049
70	537	7027
71	542	6995
72	549	6978
73	561	7023
74	568	7008
75	574	6981
76	581	6965
77	586	6929
78	591	6898
79	599	6896
80	605	6870
81	612	6854
82	618	6828
83	623	6794
84	629	6780
85	635	6754
86	641	6730
87	647	6712
88	652	6679
89	658	6654
90	664	6634
91	669	6606
92	676	6594
93	682	6578
94	690	6575
95	696	6561
96	702	6535
97	708	6522
98	714	6507
99	726	6535
100	735	6544
101	741	6530
102	747	6508
103	752	6484
104	760	6481
105	770	6496
106	777	6485
107	782	6466
108	789	6450
109	796	6440
110	806	6459
111	812	6440
112	817	6416
113	823	6400
114	829	6384
115	835	6365
116	842	6354
117	848	6339
118	854	6329
119	861	6320
120	867	6303
121	875	6298
122	884	6308
123	891	6298
124	896	6276
125	901	6255
126	908	6246
127	913	6224
128	921	6222
129	927	6207
130	932	6188
131	939	6175
132	944	6156
133	951	6146
134	957	6136
135	963	6118
136	969	6106
137	976	6097
138	981	6080
139	989	6075
140	997	6075
141	1005	6073
142	1013	6075
143	1021	6073
144	1027	6060
145	1033	6047
146	1041	6046
147	1049	6039
148	1058	6045
149	1064	6034
150	1076	6052
151	1083	6044
152	1092	6048
153	1099	6040
154	1107	6037
155	1113	6024
156	1122	6024
157	1127	6006
158	1134	6001
159	1141	5990
160	1147	5978
161	1154	5973
162	1160	5959
163	1168	5954
164	1174	5941
165	1180	5928
166	1187	5923
167	1192	5906
168	1200	5901
169	1206	5889
170	1213	5882
171	1220	5876
172	1229	5876
173	1236	5868
174	1244	5867
175	1251	5860
176	1258	5849
177	1266	5847
178	1272	5834
179	1277	5820
180	1287	5825
181	1293	5812
182	1299	5801
183	1305	5790
184	1311	5778
185	1319	5773
186	1330	5783
187	1336	5771
188	1341	5758
189	1348	5747
190	1353	5731
191	1358	5715
192	1364	5706
193	1370	5691
194	1375	5678
195	1382	5670
196	1387	5657
197	1394	5647
198	1399	5634
199	1405	5620
200	1414	5621
201	1419	5609
202	1426	5602
203	1432	5589
204	1437	5575
205	1444	5567
206	1449	5552
207	1454	5538
208	1460	5528
209	1466	5515
210	1471	5504
211	1482	5509
212	1489	5502
213	1495	5494
214	1502	5485
215	1508	5476
216	1514	5464
