Date,Open,High,Low,Close,Volume,MA_21,RSI,MACD,Stochastic_Oscillator,ATR,Momentum_21,OBV,Cumulative_Return,Volatility,Price_Gap,Consumer_Price_Index_Quarterly,Durable_Goods_Orders_Quarterly,Retail_Sales_Quarterly,Unemployment_Rate_Quarterly,cashAndShortTermInvestments,inventory,shortTermInvestments,otherCurrentAssets,retainedEarnings,changeInOperatingLiabilities,changeInOperatingAssets,capitalExpenditures,changeInReceivables,changeInInventory,surprisePercentage,grossProfit,costOfRevenue,costofGoodsAndServicesSold,incomeTaxExpense,Forward_Return,Price_Movement_Class,Year
2009-03-31,2.567500114440918,3.7804999351501465,2.381500005722046,3.671999931335449,12370496000,3.070679444192317,58.5120971730995,0.1368474465906977,65.43087831459326,0.1169779985509019,0.5724999904632568,6131718000,1.3509933844544415,0.2115140560491178,0.0014499942461649,212.015,145856.66666666666,276177.0,145856.66666666666,33266754098.360657,14953409836.065577,12573672131.14754,2440475409.836066,27858852459.01639,1653786885.2459016,881721311.4754099,5245475409.836065,-1304035087.7192984,551016393.4426229,0.0,451000000.0,4438000000.0,3741000000.0,69000000.0,13.916126523911592,4,2009
2009-06-30,3.651000022888184,4.427999973297119,3.5855000019073486,4.183000087738037,9494416000,3.910457682627579,55.30969777651177,0.0236071671397581,58.38347741025347,0.1028395585732665,0.0304999351501464,11657492000,1.538999333164796,0.1610827643299478,-0.0012539795466831,214.263,147576.33333333334,301857.3333333333,147576.33333333334,3212000000.0,1325000000.0,1276000000.0,183000000.0,-411000000.0,50000000.0,7000000.0,78000000.0,-16000000.0,23000000.0,0.0,1133000000.0,3808000000.0,3518000000.0,39000000.0,11.59455231512244,4,2009
2009-09-30,4.2210001945495605,4.724999904632568,3.7704999446868896,4.668000221252441,8324122000,4.182420385203192,53.23980684436389,0.1267267609193592,53.72771192997467,0.0929001013615301,0.6085000038146973,15869958000,1.7174394159779731,0.1575025085307259,-0.0039921887218952,215.718,156525.66666666666,303807.6666666667,156525.66666666666,4001000000.0,1617000000.0,1487000000.0,80000000.0,-212000000.0,698000000.0,431000000.0,103000000.0,155000000.0,276000000.0,0.0,1273000000.0,4504000000.0,4176000000.0,60000000.0,44.08739317387415,4,2009
2009-12-31,4.625,7.295499801635742,4.41349983215332,6.72599983215332,12727852000,5.71809559279964,63.82604107069571,0.1169551675288111,69.00480666759347,0.1406518055924347,-0.1990003585815429,22967222000,2.47461368382327,0.3280688243837495,0.027390643954277,216.152,162970.33333333334,322315.0,162970.33333333334,6366000000.0,2171000000.0,2922000000.0,272000000.0,172000000.0,2662000000.0,848000000.0,137000000.0,509000000.0,339000000.0,0.0,1977000000.0,8029000000.0,7543000000.0,85000000.0,0.9292298774856008,2,2009
2010-03-31,6.8125,6.9095001220703125,5.690999984741211,6.78849983215332,11980988000,6.306039002795968,51.02032719652544,0.1422942110835414,48.48880668780145,0.1319314863977722,0.5119996070861816,28442446000,2.497608533525705,0.2147452561379882,0.0069918397997246,217.01966666666667,177515.33333333334,291971.6666666667,177515.33333333334,5063000000.0,1820000000.0,3219000000.0,266000000.0,471000000.0,-2253000000.0,-775000000.0,140000000.0,-454000000.0,-321000000.0,0.0,1206000000.0,5918000000.0,5501000000.0,100000000.0,-19.52566906116637,0,2010
2010-06-30,6.789999961853027,7.554500102996826,5.30049991607666,5.4629998207092285,8946270000,6.603581621353138,47.69390600952972,-0.1779394077914062,46.68532090472147,0.1735521411679499,-0.6990003585815439,32191578000,2.009933756826025,0.2342012194355944,-0.0095079437134758,218.05066666666667,188381.0,320314.3333333333,188381.0,5108000000.0,1940000000.0,3479000000.0,265000000.0,678000000.0,119000000.0,183000000.0,196000000.0,42000000.0,141000000.0,-33.3333,1147000000.0,5410000000.0,4957000000.0,88000000.0,43.74886366026779,4,2010
2010-09-30,5.445000171661377,8.08899974822998,5.289999961853027,7.853000164031982,8461340000,6.265865691715763,62.92702812538514,0.3762827265640496,74.28042277279044,0.1430536162640366,1.611500263214111,37250014000,2.8892569357615416,0.279237624358657,-0.011624976992607,218.254,193234.66666666663,316957.3333333333,193234.66666666663,5885000000.0,2515000000.0,4346000000.0,200000000.0,908000000.0,1086000000.0,569000000.0,315000000.0,64000000.0,505000000.0,50.0,1257000000.0,6294000000.0,5786000000.0,79000000.0,14.60588070813322,4,2010
2010-12-31,7.854000091552734,9.282500267028809,7.570000171661377,9.0,7351132000,8.25772808208352,59.47195037258311,0.1518286030028104,66.95185392108044,0.165280681103468,0.1724996566772461,41034158000,3.3112583571503373,0.2592003182325474,0.0140156149864196,218.89766666666665,195980.3333333333,343439.3333333333,195980.3333333333,8762000000.0,3202000000.0,4985000000.0,196000000.0,1324000000.0,4160000000.0,1336000000.0,328000000.0,643000000.0,693000000.0,25.0,12948000000.0,10866000000.0,10317000000.0,84000000.0,0.0722249348958333,2,2010
2011-03-31,9.068499565124512,9.579999923706056,8.029500007629395,9.006500244140625,6567336000,8.935299543741111,46.62817218846782,0.0075883468613966,46.93232935585988,0.1541232238716794,0.4055004119873047,44242214000,3.313649911343023,0.2814885560215925,-0.0107017024870842,221.6663333333333,201527.0,314532.6666666667,201527.0,6881000000.0,2888000000.0,4240000000.0,215000000.0,1525000000.0,-2832000000.0,-702000000.0,298000000.0,-359000000.0,-343000000.0,-33.3333,1575000000.0,8270000000.0,7608000000.0,43000000.0,13.523559932232084,4,2011
2011-06-30,9.07900047302246,10.319499969482422,8.768500328063965,10.224499702453612,6371752000,9.383039992052051,57.06665463236264,0.1354638049227254,58.117103057606016,0.1672369758017752,0.6044998168945295,47843472000,3.7617733430478544,0.304725839025077,-0.001618945409381,225.53066666666663,205498.3333333333,344871.0,205498.3333333333,6355000000.0,3229000000.0,4308000000.0,257000000.0,1715000000.0,177000000.0,347000000.0,433000000.0,73000000.0,274000000.0,0.0,1622000000.0,8276000000.0,7525000000.0,109000000.0,5.741111157229666,4,2011
2011-09-30,10.27750015258789,12.199999809265137,8.854999542236328,10.81149959564209,7832530000,10.363776771085602,58.3139221511028,0.2082935291458998,62.15967883840197,0.2804666023169243,0.0499992370605451,52173108000,3.977740932155269,0.5046722631109918,0.0084999650716782,226.452,209090.0,342415.6666666667,209090.0,6326000000.0,3770000000.0,3503000000.0,312000000.0,1778000000.0,957000000.0,662000000.0,529000000.0,75000000.0,587000000.0,0.0,1711000000.0,9148000000.0,8325000000.0,83000000.0,-19.94635289576427,0,2011
