iter	Accuracy	MultiClass
0	1	1.599651683
1	1	1.589714397
2	1	1.579912012
3	1	1.571045789
4	1	1.561086134
5	1	1.551588925
6	1	1.543311206
7	1	1.53469866
8	1	1.525408311
9	1	1.51515007
10	1	1.506775596
11	1	1.498411699
12	1	1.49249545
13	1	1.483464154
14	1	1.475103205
15	1	1.465993361
16	1	1.4578606
17	1	1.449929064
18	1	1.442306865
19	1	1.436997154
20	1	1.426462
21	1	1.416186159
22	1	1.408502232
23	1	1.402175903
24	1	1.3947271
25	1	1.387187091
26	1	1.377295234
27	1	1.371467764
28	1	1.361733697
29	1	1.353764447
30	1	1.344071648
31	1	1.338155833
32	1	1.331981832
33	1	1.32639174
34	1	1.3202558
35	1	1.314320044
36	1	1.30604952
37	1	1.299113014
38	1	1.290816654
39	1	1.282876275
40	1	1.27401456
41	1	1.266083804
42	1	1.261574138
43	1	1.256487239
44	1	1.249279022
45	1	1.241556341
46	1	1.234972347
47	1	1.227966655
48	1	1.221564206
49	1	1.215228341
50	1	1.208833608
51	1	1.201948686
52	1	1.196398822
53	1	1.188356573
54	1	1.181674957
55	1	1.175070503
56	1	1.168521188
57	1	1.163271124
58	1	1.156812148
59	1	1.149856394
60	1	1.14593055
61	1	1.13987966
62	1	1.133947026
63	1	1.126487905
64	1	1.121941653
65	1	1.115791321
66	1	1.111339916
67	1	1.105854555
68	1	1.100878455
69	1	1.095580014
70	1	1.0884552
71	1	1.082059513
72	1	1.077252561
73	1	1.072468844
74	1	1.067741654
75	1	1.062688134
76	1	1.057144599
77	1	1.052562107
78	1	1.047289588
79	1	1.043723366
80	1	1.03897823
81	1	1.033981757
82	1	1.029067993
83	1	1.023941994
84	1	1.020066695
85	1	1.015854749
86	1	1.010648207
87	1	1.005315607
88	1	1.000023582
89	1	0.9959491383
90	1	0.991755052
91	1	0.9875172702
92	1	0.9823552045
93	1	0.9789763364
94	1	0.9737660668
95	1	0.969521089
96	1	0.9645750739
97	1	0.9604843313
98	1	0.9565962011
99	1	0.9519313465
100	1	0.94808145
101	1	0.9427191994
102	1	0.9387699474
103	1	0.9342622757
